sample_id,predicted_probability,predicted_label,lime_explanation
0,0.18239319605095827,On Track,"[('wealth_quintile > 3.00', -0.13240451279715615), ('0.00 < mother_years_education <= 6.00', -0.11340783789292638), ('child_age_months <= 41.00', -0.09885558374841945), ('0.00 < child_sex <= 1.00', 0.041237491310189806), ('0.00 < mother_currently_working <= 1.00', -0.03749639879833784), ('23.00 < county <= 36.00', -0.0274708634923626), ('has_electricity <= 0.00', 0.02633627986511497), ('mother_education_level > 2.00', -0.024298403515560903), ('drinking_water_source <= 5.00', -0.015435650309110482), ('26.00 < mother_age <= 30.00', 0.011097811921103786)]"
1,0.3831017319771943,On Track,"[('47.00 < child_age_months <= 53.00', 0.0959132263330374), ('2.00 < wealth_quintile <= 3.00', -0.08121873089538888), ('child_sex <= 0.00', -0.04647480766949775), ('0.00 < mother_currently_working <= 1.00', -0.035769101447422236), ('household_members > 7.00', 0.03317512053938437), ('23.00 < county <= 36.00', -0.019794999086718803), ('0.00 < has_electricity <= 1.00', -0.019313336832606352), ('6.00 < cooking_fuel <= 10.00', 0.016565648184258645), ('1.00 < mother_education_level <= 2.00', 0.015392397398311433), ('marital_status <= 2.00', -0.011128288706707156)]"
