sample_id,predicted_probability,predicted_label,feature_rule,weight
0,0.18239319605095827,0,wealth_quintile > 3.00,-0.1346961150112422
0,0.18239319605095827,0,0.00 < mother_years_education <= 6.00,-0.10627689971736733
0,0.18239319605095827,0,child_age_months <= 41.00,-0.09529896985249348
0,0.18239319605095827,0,0.00 < child_sex <= 1.00,0.041082899076717805
0,0.18239319605095827,0,0.00 < mother_currently_working <= 1.00,-0.03602023060758594
0,0.18239319605095827,0,mother_education_level > 2.00,-0.028255153719928955
0,0.18239319605095827,0,toilet_facility > 11.00,-0.025728202575471776
0,0.18239319605095827,0,marital_status <= 2.00,-0.023377094968901887
0,0.18239319605095827,0,23.00 < county <= 36.00,-0.019010489914236463
0,0.18239319605095827,0,has_electricity <= 0.00,0.01617576840891544
1,0.3831017319771943,0,47.00 < child_age_months <= 53.00,0.09222289899466105
1,0.3831017319771943,0,2.00 < wealth_quintile <= 3.00,-0.082805642598072
1,0.3831017319771943,0,child_sex <= 0.00,-0.0418606585227417
1,0.3831017319771943,0,household_members > 7.00,0.03502929703239627
1,0.3831017319771943,0,0.00 < mother_currently_working <= 1.00,-0.03370819354418097
1,0.3831017319771943,0,23.00 < county <= 36.00,-0.024539102824263057
1,0.3831017319771943,0,0.00 < has_electricity <= 1.00,-0.022492442155136835
1,0.3831017319771943,0,5.00 < drinking_water_source <= 8.00,-0.019989293285053587
1,0.3831017319771943,0,6.00 < cooking_fuel <= 10.00,0.018422264009691346
1,0.3831017319771943,0,1.00 < mother_education_level <= 2.00,0.01664160018134717
2,0.42058758098798205,1,2.00 < wealth_quintile <= 3.00,-0.10300420986927479
2,0.42058758098798205,1,mother_years_education > 17.00,-0.057910746944973716
2,0.42058758098798205,1,child_sex <= 0.00,-0.04284836122600051
2,0.42058758098798205,1,0.00 < mother_currently_working <= 1.00,-0.03168499414023114
2,0.42058758098798205,1,0.00 < has_electricity <= 1.00,-0.028675510834841964
