sample_index,child_age_months,child_sex,mother_age,mother_education_level,mother_years_education,mother_currently_working,marital_status,religion,wealth_quintile,urban_rural,county,drinking_water_source,toilet_facility,has_electricity,cooking_fuel,household_members
335,36.0,1,28.0,0,8,1,2,2,4,1,7,9,6,1,6,3.0
710,46.0,1,29.0,1,0,0,4,1,2,0,42,8,8,0,10,4.0
136,36.0,1,39.0,3,4,1,2,0,4,1,21,0,4,1,6,5.0
6,37.0,1,26.0,2,18,0,2,2,0,0,38,4,4,0,10,4.0
223,52.0,0,32.0,2,18,1,2,2,0,0,38,9,4,0,10,3.0
164,46.0,0,34.0,2,18,0,2,8,2,0,31,13,10,0,10,4.0
165,50.0,1,30.0,2,18,0,2,2,4,1,29,3,4,1,1,4.0
199,47.0,0,30.0,1,0,0,2,4,2,0,39,14,8,0,10,8.0
132,47.0,1,28.0,2,17,1,2,2,2,0,11,7,11,0,10,7.0
501,44.0,1,42.0,1,0,0,5,1,2,0,42,10,8,0,10,7.0
395,44.0,1,26.0,3,2,1,2,8,4,1,29,5,5,1,6,5.0
41,36.0,1,26.0,2,16,0,2,7,0,0,22,9,10,0,10,8.0
108,38.0,0,24.0,3,4,0,2,8,2,0,15,6,11,0,10,5.0
644,41.0,0,34.0,1,0,0,2,4,3,1,6,11,10,1,3,10.0
56,42.0,1,28.0,3,4,1,2,8,3,0,35,5,12,1,10,5.0
158,41.0,1,39.0,2,17,1,2,8,1,0,26,13,8,0,10,4.0
464,37.0,1,27.0,3,4,1,2,8,4,1,30,3,3,1,7,3.0
324,51.0,0,27.0,2,18,0,2,7,1,0,17,10,10,0,10,3.0
531,55.0,0,25.0,1,0,0,1,8,0,1,42,4,10,0,3,5.0
24,51.0,0,37.0,2,1,1,2,2,2,0,0,10,8,0,10,10.0
541,39.0,1,27.0,2,17,1,2,1,2,0,26,6,11,0,10,4.0
260,41.0,0,24.0,2,18,0,2,4,2,0,8,8,8,0,10,5.0
550,56.0,1,26.0,3,2,1,2,2,3,0,30,12,12,1,3,5.0
302,56.0,1,32.0,2,18,1,2,7,3,1,16,12,3,1,3,5.0
431,55.0,0,27.0,3,4,0,1,1,3,1,27,2,10,1,6,4.0
110,43.0,1,31.0,2,17,1,2,2,1,0,3,10,10,0,10,6.0
82,36.0,0,41.0,3,4,1,0,8,4,1,32,0,2,1,6,3.0
51,42.0,0,37.0,2,17,1,2,8,2,0,26,10,10,0,10,13.0
679,37.0,0,35.0,1,0,0,2,1,2,0,42,7,8,0,10,7.0
576,42.0,0,45.0,3,4,0,2,8,3,1,12,5,10,1,3,5.0
589,37.0,1,29.0,0,8,0,2,2,4,1,37,11,3,1,3,4.0
281,38.0,1,28.0,2,17,1,3,1,2,0,0,12,8,0,10,8.0
257,48.0,1,25.0,2,16,0,1,8,0,0,43,14,12,0,10,5.0
639,52.0,1,30.0,2,18,1,2,2,1,0,31,12,10,0,10,7.0
318,54.0,1,25.0,3,4,1,1,1,0,0,31,5,10,1,10,3.0
18,57.0,0,32.0,1,0,0,2,4,2,0,20,5,12,0,10,5.0
244,40.0,0,22.0,2,14,0,1,2,2,1,42,14,8,0,10,5.0
394,38.0,1,36.0,2,18,1,0,2,1,0,30,14,11,0,3,2.0
603,56.0,1,44.0,1,0,0,2,8,2,0,42,8,11,0,10,5.0
499,40.0,1,24.0,2,18,1,2,8,2,0,3,13,11,0,10,4.0
61,46.0,0,44.0,1,0,0,2,2,2,0,42,8,8,0,10,8.0
182,53.0,0,25.0,1,0,0,2,4,2,0,23,10,10,0,10,4.0
506,42.0,1,25.0,2,17,0,2,4,3,1,8,5,10,1,4,8.0
29,41.0,0,33.0,2,18,1,2,2,3,1,28,5,11,1,10,4.0
204,56.0,1,32.0,1,0,0,2,4,2,0,6,14,8,0,10,8.0
701,46.0,1,37.0,1,0,0,2,1,2,0,46,5,11,0,10,8.0
265,37.0,0,27.0,3,4,1,1,8,3,1,29,5,2,1,6,4.0
356,42.0,1,33.0,2,18,1,2,0,2,0,11,10,11,0,10,5.0
469,53.0,1,37.0,2,15,0,2,2,2,0,40,10,11,0,10,10.0
667,48.0,0,30.0,0,5,1,2,8,0,0,33,10,10,0,10,4.0
449,38.0,1,40.0,1,0,0,2,4,2,0,8,8,10,0,10,9.0
432,48.0,0,34.0,2,16,0,2,1,0,0,15,6,11,1,10,8.0
619,49.0,0,40.0,1,0,0,2,4,1,0,45,1,10,0,10,14.0
256,44.0,1,30.0,1,0,0,2,4,2,0,6,13,8,0,10,6.0
353,39.0,0,36.0,2,18,0,2,8,0,0,26,10,12,0,10,9.0
439,44.0,1,26.0,2,18,1,2,1,1,0,1,9,10,0,10,4.0
176,49.0,1,37.0,1,0,0,2,4,2,0,23,12,10,0,10,10.0
239,37.0,1,20.0,3,19,1,2,2,0,0,40,10,10,0,10,7.0
426,44.0,1,29.0,2,17,0,1,2,2,0,28,10,10,0,10,4.0
137,38.0,1,32.0,3,3,1,2,8,3,0,5,4,11,1,10,4.0
196,47.0,0,22.0,2,17,1,4,1,0,0,30,10,10,1,10,6.0
674,47.0,0,25.0,3,4,0,2,4,4,1,8,3,4,1,3,6.0
163,44.0,0,27.0,3,19,0,2,8,3,0,43,5,4,1,6,4.0
355,40.0,1,34.0,0,7,0,2,8,4,0,40,3,3,1,10,5.0
631,52.0,0,36.0,3,4,1,1,1,0,0,33,10,10,0,10,5.0
470,43.0,0,21.0,3,4,1,2,0,3,0,7,9,10,1,3,7.0
